"","TCGA-B6-A0RL-01A-11R-A084-07","TCGA-A2-A0T0-01A-22R-A084-07","TCGA-BH-A18U-01A-21R-A12D-07","TCGA-E2-A15M-11A-22R-A12D-07","TCGA-BH-A0DG-01A-21R-A12P-07","TCGA-E2-A1BC-11A-32R-A12P-07","TCGA-C8-A138-01A-11R-A115-07","TCGA-BH-A0DT-01A-21R-A12D-07","TCGA-A2-A0D4-01A-11R-A00Z-07","TCGA-BH-A0HW-01A-11R-A034-07","TCGA-A2-A0T7-01A-21R-A084-07","TCGA-AR-A1AV-01A-21R-A12P-07","TCGA-BH-A0H9-01A-11R-A056-07","TCGA-BH-A0BL-01A-11R-A115-07","TCGA-AO-A0J2-01A-11R-A034-07","TCGA-A2-A0CT-01A-31R-A056-07","TCGA-BH-A1EV-01A-11R-A137-07","TCGA-BH-A18P-01A-11R-A12D-07","TCGA-BH-A0DD-01A-31R-A12P-07","TCGA-A2-A04N-01A-11R-A115-07","TCGA-B6-A0RE-01A-11R-A056-07","TCGA-B6-A0WY-01A-11R-A109-07","TCGA-AR-A1AT-01A-11R-A12P-07","TCGA-C8-A12L-01A-11R-A115-07","TCGA-A8-A086-01A-11R-A00Z-07","TCGA-A2-A0YK-01A-22R-A109-07","TCGA-A2-A0CL-01A-11R-A115-07","TCGA-BH-A0H5-11A-62R-A115-07","TCGA-A2-A04R-01A-41R-A109-07","TCGA-BH-A0DV-11A-22R-A12P-07","TCGA-BH-A0HP-01A-12R-A084-07","TCGA-A2-A0SU-01A-11R-A084-07","TCGA-B6-A0WS-01A-11R-A115-07","TCGA-BH-A0B5-11A-23R-A12P-07","TCGA-C8-A12Q-01A-11R-A115-07","TCGA-A8-A083-01A-21R-A00Z-07","TCGA-BH-A0E0-11A-13R-A089-07","TCGA-AR-A0TS-01A-11R-A115-07","TCGA-A2-A0EM-01A-11R-A034-07","TCGA-BH-A18M-11A-33R-A12D-07"
"STOML3","-0.0192","0.503","0.4895","0.46375","0.463333333333333","0.383666666666667","2.28866666666667","0.4432","0.266666666666667","0.64275","0.166666666666667","0.171166666666667","-0.13375","-0.069","0.5335","0.073","-0.161666666666667","-0.2455","-0.424666666666667","0.8675","0.052","0.251166666666667","0.399833333333333","0.5865","0.405833333333333","-0.290666666666667","-0.117","0.796166666666667","0.3175","0.523666666666667","0.3275","0.0215","-0.236666666666667","0.0593333333333333","-0.107166666666667","0.939333333333333","0.609333333333333","0.0156666666666666","0.722666666666667","0.325833333333333"
"C9orf89","1.7285","1.02025","0.76425","0.48175","1.01625","-0.18825","0.2275","1.26275","2.123","1.45","0.3365","0.518","1.56425","0.563","1.17425","1.4195","0.57675","0.38475","1.25775","0.94925","1.24525","0.97725","1.048","-0.47075","1.60375","-0.02075","0.457","0.0275","1.3395","0.36875","0.49075","1.031","1.33125","-0.154","0.84225","0.64075","0.52125","0.55875","1.3475","0.47625"
"MGMT","0.50175","0.786","1.70725","1.82925","0.92825","1.6645","1.978","1.51175","1.115","1.70975","0.926","0.80075","0.68","0.84775","-0.41725","0.887","1.54775","0.0785","0.243","0.74225","0.60125","1.787","1.18475","-0.57925","1.26125","1.0525","1.1195","0.21775","1.77725","1.65425","0.9785","0.527","1.431","1.653","1.31975","1.27325","1.09225","0.66875","0.60925","1.24725"
"FFAR1","0.22425","0.44525","-0.47425","0.284","-0.0935","0.39325","-0.21225","-0.2145","-0.37625","-0.00625","-0.0755","0.6765","0.02875","0.05625","-0.0595","0.2855","0.1935","-0.12775","0.376","-0.3455","-0.01325","0.00375000000000001","0.18575","0.25425","-0.02275","0.1245","0.096","-0.086","-0.11325","0.18275","0.03975","-0.08875","-0.17125","0.579","0.37375","0.0376666666666667","-0.10375","0.32125","0.189","0.5195"
"HISPPD1","-0.13975","-0.9535","-0.29075","-0.00425000000000001","-0.34325","-1.10025","-0.80175","-0.34825","-0.25675","0.14325","-0.12375","0.36725","-0.2925","-0.44925","-0.15325","-0.31975","-0.655","-0.05075","0.39425","0.13525","-0.0185","-0.4935","-0.246","-0.108","-0.576","-0.52075","-0.31775","0.54725","-0.5385","-0.589","-0.41275","-0.81925","0.05675","-1.26925","-0.648","0.07075","-0.2395","-0.56775","-0.318","-0.253"
"C1orf102","2.9005","2.001","1.875","2.7335","2.656","2.39825","2.976","2.767","2.62175","3.0425","1.86075","1.496","3.0445","0.9895","2.106","2.79675","3.8465","2.12","2.51275","2.90025","0.79575","2.042","1.3775","1.16675","2.07625","1.63875","0.88475","2.097","1.48275","2.02925","2.50825","3.13975","2.606","2.01025","1.80275","2.785","2.30775","0.8325","2.9675","2.254"
"SELS","0.55725","-0.152125","0.625125","0.506375","0.5515","0.63275","-0.053875","0.594125","0.537125","1.064375","0.293625","0.844625","0.198375","0.1255","0.42575","-0.2225","0.285875","0.421","0.3845","0.4705","0.08425","0.19425","0.48475","0.894125","0.52","0.340625","0.4705","0.005","0.919625","0.093875","-0.598875","2.368375","0.667375","0.176","1.183125","-0.0515","-0.01325","1.39125","0.50425","0.156375"
"OR5AT1","0.271","0.5295","0.339","0.1075","0.3145","0.276","0.2825","0.739","0.335","1.122","0.127","0.0955","0.464","0.305","0.112","0.582","0.799","0.052","0.617","0.583","0.086","0.3425","0.5675","0.336","0.467","0.25","-0.193","0.295","0.196","-0.0315","0.384","0.1985","0.2875","0.731","0.5755","0.5265","0.1925","0.56","0.188","-0.284"
"MAGEA10","-4.83425","-4.56525","-1.791","-4.08725","-4.5675","-4.5085","-4.52875","-3.92475","-4.37175","-4.31275","-5.093","-4.5775","-4.4615","-4.073","-4.18925","-4.77525","-4.459","-4.51975","-4.53675","-3.683","-4.7525","-4.124","-4.19475","-4.6785","-4.345","-4.7525","-4.21725","-2.9215","-4.1815","-4.7645","-4.49525","-4.02675","-5.0085","-3.83225","0.84625","-4.857","-4.2625","-4.56725","-4.29125","-5.2875"
"RNF167","-0.4205","-0.9659","-0.4471","-0.1989","-0.0511","-0.0272","-0.1059","-0.2204","-0.0249","-0.241","-0.0027","0.7114","0.5891","-0.5427","-0.8587","1.5799","0.1819","-0.0302","-0.7757","-0.3566","-0.1366","-0.0651","-0.2584","-0.5956","-0.5658","-0.2478","0.203","0.0386","-0.2619","-0.3934","-0.3841","-0.3911","0.218","-0.2281","-0.2935","0.7292","-0.4148","0.2427","0.2634","-0.4364"
"CENTG2","1.0975","0.06825","1.06025","-0.85925","-0.2125","-0.364","0.58725","0.129","0.92275","-0.064","1.243","0.112","0.20425","-0.145","-0.08875","1.4075","0.3185","1.4275","0.50175","0.172","0.559","-0.27325","0.1055","0.1415","1.103","0.12975","0.31925","0.59575","-0.0825","0.09525","0.6665","0.5405","0.30375","-0.56925","0.29525","1.933","0.02075","-0.248","0.3725","-0.18525"
